indiv;poparea;sex;geography
P01_1;P01;M;RA
P01_2;P01;M;RA
P01_3;P01;M;RA
P01_4;P01;M;RA
P01_5;P01;F;RA
P01_6;P01;F;RA
P01_7;P01;F;RA
P01_8;P01;F;RA
P02_9;P02;M;RA
P02_10;P02;M;RA
P02_12;P02;M;RA
P02_13;P02;F;RA
P02_14;P02;F;RA
P02_15;P02;F;RA
P02_16;P02;F;RA
P03_17;P03;M;RA
P03_18;P03;M;RA
P03_19;P03;M;RA
P03_20;P03;M;RA
P03_21;P03;F;RA
P03_22;P03;F;RA
P03_23;P03;F;RA
P03_24;P03;F;RA
P4a_25;P04a;M;VE
P4a_26;P04a;M;VE
P4a_27;P04a;M;VE
P4a_28;P04a;M;VE
P4a_29;P04a;F;VE
P4a_30;P04a;F;VE
P4a_31;P04a;F;VE
P4a_32;P04a;F;VE
P4b_33;P04b;M;VE
P4b_34;P04b;M;VE
P4b_35;P04b;M;VE
P4b_36;P04b;M;VE
P4b_37;P04b;F;VE
P4b_38;P04b;F;VE
P4b_39;P04b;F;VE
P4b_40;P04b;F;VE
P05_41;P05;M;VE
P05_42;P05;M;VE
P05_43;P05;M;VE
P05_44;P05;M;VE
P05_45;P05;F;VE
P05_46;P05;F;VE
P05_47;P05;F;VE
P05_48;P05;F;VE
P06_49;P06;M;MD
P06_50;P06;M;MD
P06_51;P06;M;MD
P06_52;P06;M;MD
P06_53;P06;F;MD
P06_54;P06;F;MD
P06_55;P06;F;MD
P06_56;P06;F;MD
P07_57;P07;M;MD
P07_58;P07;M;MD
P07_59;P07;M;MD
P07_60;P07;M;MD
P07_61;P07;F;MD
P07_62;P07;F;MD
P07_63;P07;F;MD
P07_64;P07;F;MD
P08_65;P08;M;MD
P08_66;P08;M;MD
P08_67;P08;M;MD
P08_68;P08;M;MD
P08_69;P08;F;MD
P08_70;P08;F;MD
P08_71;P08;F;MD
P08_72;P08;F;MD
P09_73;P09;M;NN
P09_74;P09;M;NN
P09_75;P09;M;NN
P09_76;P09;M;NN
P09_77;P09;F;NN
P09_78;P09;F;NN
P09_79;P09;F;NN
P09_80;P09;F;NN
P11_81;P11;M;NN
P11_82;P11;M;NN
P11_83;P11;M;NN
P11_84;P11;M;NN
P11_85;P11;F;NN
P11_86;P11;F;NN
P11_87;P11;F;NN
P11_88;P11;F;NN
P12_89;P12;M;NN
P12_90;P12;M;NN
P12_91;P12;M;NN
P12_92;P12;M;NN
P12_93;P12;F;NN
P12_94;P12;F;NN
P12_95;P12;F;NN
P12_96;P12;F;NN
